model_name,attack_name,samples,accuracy
resnet18,fgsm,25,70.0
resnet18,bim,25,100.0
resnet18,cw,25,80.0
resnet18,pgd,25,100.0
resnet18,fgsm,25,90.0
resnet18,bim,25,100.0
resnet18,cw,25,50.0
resnet18,pgd,25,100.0
inception_v3,fgsm,25,100.0
inception_v3,bim,25,100.0
inception_v3,cw,25,90.0
inception_v3,pgd,25,90.0
inception_v3,fgsm,25,100.0
inception_v3,bim,25,100.0
inception_v3,cw,25,90.0
inception_v3,pgd,25,100.0
resnet18,fgsm,50,70.0
resnet18,bim,50,100.0
resnet18,cw,50,70.0
resnet18,pgd,50,100.0
resnet18,fgsm,50,90.0
resnet18,bim,50,100.0
resnet18,cw,50,50.0
resnet18,pgd,50,100.0
inception_v3,fgsm,50,100.0
inception_v3,bim,50,100.0
inception_v3,cw,50,80.0
inception_v3,pgd,50,100.0
inception_v3,fgsm,50,95.0
inception_v3,bim,50,100.0
inception_v3,cw,50,85.0
inception_v3,pgd,50,100.0
resnet18,fgsm,100,95.0
resnet18,bim,100,100.0
resnet18,cw,100,72.5
resnet18,pgd,100,100.0
resnet18,fgsm,100,85.0
resnet18,bim,100,100.0
resnet18,cw,100,65.0
resnet18,pgd,100,100.0
inception_v3,fgsm,100,97.5
inception_v3,bim,100,100.0
inception_v3,cw,100,75.0
inception_v3,pgd,100,100.0
inception_v3,fgsm,100,90.0
inception_v3,bim,100,100.0
inception_v3,cw,100,65.0
inception_v3,pgd,100,97.5
resnet18,fgsm,250,92.0
resnet18,bim,250,100.0
resnet18,cw,250,80.0
resnet18,pgd,250,100.0
resnet18,fgsm,250,97.0
resnet18,bim,250,100.0
resnet18,cw,250,70.0
resnet18,pgd,250,100.0
inception_v3,fgsm,250,99.0
inception_v3,bim,250,100.0
inception_v3,cw,250,84.0
inception_v3,pgd,250,100.0
inception_v3,fgsm,250,99.0
inception_v3,bim,250,99.0
inception_v3,cw,250,71.0
inception_v3,pgd,250,100.0
resnet18,fgsm,500,93.0
resnet18,bim,500,100.0
resnet18,cw,500,80.0
resnet18,pgd,500,100.0
resnet18,fgsm,500,95.5
